lat_cell,lon_cell,erc,fm100,fm1000,tmmx,vpd,vs
44.8,-93.0,28.571442,15.293753,17.289894,286.547966,0.621456,4.050961
44.8,-92.9,27.455453,15.645893,17.601257,286.398109,0.593585,4.05936
44.8,-92.8,26.167833,16.020172,17.97987,286.243529,0.56782,4.059109
44.8,-92.7,24.939216,16.407339,18.355561,286.172014,0.545096,4.010677
44.8,-92.6,23.723866,16.789327,18.721265,286.048467,0.524287,3.955634
44.8,-92.5,23.143718,16.930719,18.913512,286.005373,0.517406,3.912878
44.8,-92.4,23.269735,16.906974,18.880529,286.034256,0.5205,3.886569
44.8,-92.3,23.479248,16.871983,18.815095,285.998708,0.518813,3.861546
44.8,-92.2,23.696435,16.791807,18.742588,286.035419,0.525551,3.836828
44.8,-92.1,23.700093,16.763349,18.751036,286.215747,0.534787,3.825911
44.8,-92.0,24.073438,16.650497,18.624142,286.483133,0.551471,3.833731
44.8,-91.9,24.237035,16.607097,18.578423,286.62188,0.558583,3.846074
44.8,-91.8,24.157519,16.601725,18.60614,286.576954,0.562751,3.85338
44.8,-91.7,24.540842,16.45713,18.480734,286.613174,0.572805,3.880478
44.8,-91.6,25.040046,16.297818,18.304346,286.413558,0.571394,3.932494
44.8,-91.5,25.511107,16.155414,18.147005,286.307953,0.576162,3.971545
44.8,-91.4,24.920896,16.32638,18.338398,286.189681,0.563932,3.984815
44.8,-91.3,24.187877,16.539773,18.576854,286.109619,0.552185,3.968781
44.8,-91.2,23.541301,16.735696,18.793843,285.978483,0.538949,3.940428
44.8,-91.1,23.155607,16.858602,18.916911,285.854691,0.530755,3.94232
44.8,-91.0,22.882529,16.943764,19.003468,285.793179,0.524358,4.003021
44.8,-90.9,22.589886,17.02988,19.105717,285.743535,0.518724,4.077917
44.8,-90.8,22.430513,17.069236,19.165226,285.684769,0.514714,4.154088
44.8,-90.7,22.295233,17.103783,19.211606,285.533369,0.50697,4.202826
44.8,-90.6,22.289728,17.114806,19.227047,285.377474,0.499187,4.230407
44.8,-90.5,22.245549,17.111364,19.243157,285.294401,0.494778,4.286329
44.8,-90.4,22.448539,17.041192,19.174939,285.215211,0.493995,4.361856
44.8,-90.3,22.841532,16.93262,19.042496,285.225516,0.49662,4.489139
44.8,-90.2,23.080301,16.879422,18.949241,285.23969,0.495175,4.543869
44.8,-90.1,23.461114,16.821619,18.823006,285.35945,0.499397,4.509777
44.8,-90.0,23.221209,16.872462,18.905213,285.461993,0.502387,4.45374
44.8,-89.9,22.907509,16.932657,18.991806,285.315026,0.492444,4.40918
44.8,-89.8,22.969462,16.897794,18.949642,285.20831,0.485066,4.370535
44.8,-89.7,23.60906,16.679372,18.723663,285.246273,0.491537,4.371813
44.8,-89.6,23.186192,16.793576,18.851185,285.160937,0.484156,4.399882
44.8,-89.5,22.279555,17.078894,19.145944,285.121634,0.477005,4.449992
44.8,-89.4,21.62957,17.296514,19.375085,285.289086,0.478257,4.504118
44.8,-89.3,20.830872,17.554128,19.667992,285.399755,0.474954,4.588087
44.8,-89.2,20.460707,17.685586,19.80986,285.493295,0.473144,4.675457
44.8,-89.1,20.537176,17.685889,19.787385,285.416331,0.465069,4.768156
44.8,-89.0,20.723195,17.628098,19.732596,285.539956,0.469931,4.778404
44.8,-88.9,20.899492,17.562749,19.676037,285.695047,0.477358,4.713343
44.8,-88.8,21.37299,17.405076,19.513581,285.927645,0.489908,4.539428
44.8,-88.7,21.918153,17.253865,19.343745,286.145193,0.505352,4.371745
44.8,-88.6,22.705798,17.009779,19.08336,286.38294,0.52496,4.232069
44.8,-88.5,22.424025,17.081534,19.184233,286.307732,0.518368,4.153048
44.8,-88.4,21.975026,17.217674,19.355746,286.192849,0.507865,4.11996
44.8,-88.3,22.228069,17.139539,19.301081,286.197769,0.511556,4.079598
44.8,-88.2,22.812895,16.958155,19.072365,286.048374,0.510798,4.053138
44.8,-88.1,23.040064,16.882679,18.971343,285.853531,0.50209,4.155926
44.8,-88.0,23.222401,16.771033,18.909422,285.598597,0.491662,4.315106
44.8,-87.9,23.525646,16.646105,18.815302,285.547983,0.492927,4.451444
44.8,-87.8,23.537724,16.647029,18.808609,285.672053,0.494066,4.572191
44.8,-87.7,24.90315,16.192914,18.34895,285.678149,0.512104,4.853026
44.8,-87.6,23.983876,16.41,18.551674,285.384173,0.481849,5.172257
44.8,-87.5,23.530132,16.542038,18.631824,285.136114,0.463287,5.560579
44.8,-87.4,23.25284,16.670794,18.730659,285.055893,0.460309,5.878087
44.8,-87.3,22.064669,17.030559,19.122931,285.198682,0.444736,6.189016
44.8,-87.2,21.803287,17.133973,19.227205,285.124516,0.440522,6.10702
44.8,-86.2,19.266657,17.796965,19.966126,286.028435,0.386752,5.271291
44.8,-86.1,19.739465,17.532886,19.812542,286.276972,0.424928,5.001247
44.8,-86.0,20.112756,17.458289,19.809942,286.615686,0.478653,4.90094
44.8,-85.9,19.807695,17.587904,19.969483,286.870351,0.496423,4.934494
44.8,-85.8,19.296558,17.714416,20.09497,286.29264,0.465245,5.015751
44.8,-85.7,19.698514,17.538171,19.891345,285.723138,0.444595,5.081925
44.8,-85.6,21.043152,17.160152,19.507487,286.250196,0.49447,5.082212
44.8,-85.5,20.632722,17.319897,19.666133,286.288179,0.492146,5.034325
44.8,-85.4,19.680253,17.653437,19.995552,286.081248,0.47844,4.984773
44.8,-85.3,18.667911,17.995996,20.345188,285.801813,0.454357,4.95497
44.8,-85.2,18.019266,18.231949,20.59421,285.392593,0.442521,4.947807
44.8,-85.1,17.535696,18.357057,20.773387,285.377847,0.437702,4.91636
44.8,-85.0,17.567294,18.322161,20.766218,285.458364,0.447544,4.883536
44.8,-84.9,17.670707,18.289704,20.736774,285.540365,0.455754,4.86363
44.8,-84.8,17.875719,18.250331,20.649152,285.599727,0.459214,4.853067
44.8,-84.7,17.887065,18.254265,20.626817,285.534197,0.453871,4.859305
44.8,-84.6,18.134371,18.173703,20.524027,285.59849,0.457073,4.857935
44.8,-84.5,18.490046,18.082964,20.403934,285.697842,0.463325,4.844053
44.8,-84.4,18.773015,18.021759,20.311279,285.770818,0.465541,4.825988
44.8,-84.3,18.785129,18.002277,20.315741,285.755467,0.462518,4.801225
44.8,-84.2,18.833237,17.9709,20.293051,285.716378,0.459765,4.805879
